# Time Mote_ID Temperature Motion CO2
168 5 361 2511 894
169 0 369 2552 909
169 1 280 2564 907
169 2 262 2621 895
169 3 377 2277 995
169 4 369 2658 921
169 5 362 2599 891
170 0 368 2563 910
170 1 280 2564 907
170 2 262 2620 895
170 3 377 2335 994
170 4 369 2658 923
170 5 362 2575 890
171 0 368 2498 910
171 1 280 2564 909
171 2 262 2621 895
171 3 377 2299 994
171 4 369 2657 921
171 5 361 2610 894
172 0 368 2481 910
172 1 280 2565 907
172 2 262 2621 895
172 4 369 2658 921
172 5 361 2600 966
173 0 368 2584 910
173 1 281 2563 907
173 2 262 2622 895
173 3 377 2339 994
173 4 369 2658 921
173 5 362 2590 966
174 0 369 2543 910
174 1 281 2564 907
174 2 262 2191 894
174 3 377 2314 994
174 4 369 2658 921
174 5 362 2579 890
175 0 368 2511 906
175 1 281 2564 907
175 2 262 2621 895
175 3 377 2283 994
175 4 369 2658 921
175 5 362 2588 966
176 0 368 2511 910
176 1 281 2564 907
176 2 262 2621 895
176 3 377 2293 994
176 4 369 2657 921
176 5 362 2536 890
177 0 368 2480 910
177 1 281 2565 907
177 2 262 2621 895
177 3 377 2312 994
177 4 369 2658 921
177 5 361 2611 890
178 0 368 2522 910
178 1 281 2563 907
178 2 262 2619 895
178 3 377 2289 994
178 4 369 2658 921
178 5 361 2583 890
179 0 368 2550 910
179 1 281 2563 907
179 2 262 2620 895
179 3 377 2326 994
179 4 369 2656 921
179 5 362 2612 891
180 0 368 2537 910
180 1 280 2564 907
180 2 262 2621 894
180 3 377 2362 994
180 4 369 2658 921
180 5 361 2570 894
181 0 368 2528 909
181 1 281 2565 907
181 2 263 2621 895
181 3 377 2311 994
181 4 369 2658 921
181 5 362 2576 890
182 0 368 2504 910
182 1 281 2563 907
182 2 263 2621 895
182 3 377 2311 994
182 4 369 2658 920
182 5 362 2547 890
183 0 368 2503 910
183 1 281 2563 907
183 2 263 2621 895
183 3 377 2337 994
183 4 369 2657 921
183 5 362 2578 894
184 0 368 2494 911
184 1 281 2564 908
184 2 263 2619 895
184 3 377 2329 994
184 4 369 2658 921
184 5 362 2526 890
185 0 368 2524 910
185 1 281 2564 907
185 2 262 2621 894
185 3 377 2359 995
185 4 369 2658 921
185 5 362 2594 966
186 0 368 2527 910
186 1 281 2563 907
186 2 263 2622 894
186 3 377 2289 995
186 4 369 2658 921
186 5 362 2597 894
187 0 368 2491 910
187 1 281 2564 909
187 2 263 2622 894
187 3 377 2280 995
187 4 369 2658 921
187 5 362 2601 894
188 0 368 2532 906
188 1 281 2564 907
188 2 263 2621 895
188 3 377 2324 994
188 4 369 2656 921
188 5 362 2613 894
189 0 368 2590 910
189 1 281 2564 907
189 2 263 2621 895
189 3 377 2329 994
189 4 369 2657 921
189 5 362 2581 966
190 0 368 2503 910
190 1 281 2566 907
190 2 263 2621 894
190 3 377 2277 994
190 4 369 2658 921
190 5 362 2617 890
191 0 368 2532 910
191 1 281 2564 907
191 2 263 2621 895
191 3 377 2349 994
191 4 369 2658 921
191 5 362 2551 890
192 0 368 2523 910
192 1 280 2564 909
192 2 263 2622 895
192 3 377 2371 994
192 4 369 2658 921
192 5 361 2540 894
193 0 368 2500 909
193 1 280 2564 907
193 2 263 2621 895
193 3 377 2305 995
193 4 369 2657 921
193 5 362 2579 894
194 0 368 2504 910
194 1 281 2563 907
194 2 263 2621 895
194 3 377 2296 994
194 4 369 2658 921
194 5 362 2571 890
195 0 368 2512 909
195 1 281 2564 904
195 2 263 2620 895
195 3 377 2315 995
195 4 369 2658 920
195 5 361 2530 893
196 0 368 2467 910
196 1 281 2565 907
196 2 263 2621 894
196 3 377 2315 994
196 4 369 2658 921
196 5 362 2617 891
197 0 368 2558 906
197 1 281 2565 907
197 2 263 2621 895
197 3 377 2314 995
197 4 369 2658 921
197 5 362 2568 890
198 0 368 2548 910
198 1 281 2565 907
198 2 263 2620 895
198 3 377 2293 994
198 4 369 2658 921
198 5 362 2608 894
199 0 368 2528 910
199 1 281 2563 907
199 2 263 2621 894
199 3 377 2318 995
199 4 369 2657 921
199 5 362 2583 966
200 0 368 2564 910
200 1 281 2564 907
200 2 263 2621 895
200 3 377 2330 994
200 4 369 2658 923
200 5 362 2616 966
201 0 368 2498 907
201 1 281 2563 908
201 2 263 2621 895
201 3 377 2319 995
201 4 369 2658 921
201 5 362 2545 966
202 0 368 2497 907
202 1 281 2563 907
202 2 263 2621 894
202 3 377 2313 995
202 4 369 2658 921
202 5 362 2590 966
203 0 368 2541 910
203 1 281 2563 907
203 2 263 2621 895
203 3 377 2310 995
203 4 369 2658 921
203 5 362 2620 966
204 0 368 2484 910
204 1 281 2563 907
204 2 263 2621 895
204 3 377 2329 995
204 4 369 2658 921
204 5 362 2603 891
205 0 368 2497 910
205 1 281 2564 907
205 2 263 2620 894
205 3 377 2326 995
205 4 369 2658 921
205 5 362 2599 891
206 0 368 2524 910
206 1 281 2564 906
206 2 263 2621 895
206 3 377 2285 995
206 4 369 2657 921
206 5 362 2561 966
207 0 368 2507 906
207 1 281 2564 907
207 2 264 2622 895
207 3 377 2334 995
207 4 369 2658 921
207 5 362 2571 890
208 0 368 2558 910
208 1 281 2564 907
208 2 263 2620 895
208 3 377 2326 995
208 4 369 2658 921
208 5 362 2546 966
209 0 368 2588 910
209 1 281 2563 909
209 2 263 2621 894
209 3 377 2309 995
209 4 369 2657 920
209 5 362 2566 890
210 0 368 2486 910
210 1 281 2563 907
210 2 263 2621 895
210 3 377 2318 995
210 4 369 2658 921
210 5 362 2591 890
211 0 368 2562 910
211 1 282 2564 907
211 2 263 2620 895
211 3 377 2318 995
211 4 369 2658 920
211 5 362 2552 890
212 0 368 2535 910
212 1 282 2563 907
212 2 263 2622 895
212 3 377 2292 995
212 4 370 2658 921
